set,probe,type,time_utc,rN_km
algorithmic,1,MP_boundary,2019-01-27T12:15:26+00:00,4199.577843307465
algorithmic,1,MP_boundary,2019-01-27T12:16:11+00:00,4187.319907924525
algorithmic,1,MP_boundary,2019-01-27T12:16:43+00:00,4175.039731437484
algorithmic,1,MP_boundary,2019-01-27T12:18:15+00:00,4125.695786742545
algorithmic,1,MP_boundary,2019-01-27T12:18:57+00:00,4113.304177093244
algorithmic,1,MP_boundary,2019-01-27T12:19:28+00:00,4100.890246102338
algorithmic,1,MP_boundary,2019-01-27T12:20:00+00:00,4088.4541056823423
algorithmic,1,MP_boundary,2019-01-27T12:20:38+00:00,4075.9958632906078
algorithmic,1,MP_boundary,2019-01-27T12:21:11+00:00,4063.5154992888843
algorithmic,1,MP_boundary,2019-01-27T12:30:50+00:00,3809.2954300292618
algorithmic,1,MP_boundary,2019-01-27T12:39:47+00:00,3573.1020277365196
algorithmic,1,MP_boundary,2019-01-27T12:43:28+00:00,3479.393768567537
algorithmic,1,MP_boundary,2019-01-27T12:44:22+00:00,3452.431691212211
algorithmic,1,MP_boundary,2019-01-27T12:45:40+00:00,3425.3863627999385
algorithmic,1,MP_boundary,2019-01-27T12:46:18+00:00,3398.25810099314
algorithmic,1,MP_boundary,2019-01-27T12:46:53+00:00,3384.6628751432263
algorithmic,1,MP_boundary,2019-01-27T12:47:27+00:00,3371.047088756973
algorithmic,2,MP_boundary,2019-01-27T12:15:09+00:00,4177.316706029357
algorithmic,2,MP_boundary,2019-01-27T12:15:44+00:00,4165.066399526127
algorithmic,2,MP_boundary,2019-01-27T12:16:17+00:00,4140.498766517115
algorithmic,2,MP_boundary,2019-01-27T12:18:23+00:00,4091.0957162117043
algorithmic,2,MP_boundary,2019-01-27T12:19:02+00:00,4078.689353594342
algorithmic,2,MP_boundary,2019-01-27T12:19:43+00:00,4066.2606772324193
algorithmic,2,MP_boundary,2019-01-27T12:20:32+00:00,4041.3368819757925
algorithmic,2,MP_boundary,2019-01-27T12:21:09+00:00,4028.8418222556516
algorithmic,2,MP_boundary,2019-01-27T12:43:25+00:00,3444.0624079443046
algorithmic,2,MP_boundary,2019-01-27T12:44:01+00:00,3430.577401667892
algorithmic,2,MP_boundary,2019-01-27T12:44:58+00:00,3403.5450134377684
algorithmic,2,MP_boundary,2019-01-27T12:45:36+00:00,3389.997609619672
algorithmic,2,MP_boundary,2019-01-27T12:47:20+00:00,3335.6011873854654
algorithmic,3,MP_boundary,2019-01-27T12:15:30+00:00,4287.2409629265685
algorithmic,3,MP_boundary,2019-01-27T12:16:01+00:00,4275.020848818265
algorithmic,3,MP_boundary,2019-01-27T12:16:38+00:00,4262.778385209914
algorithmic,3,MP_boundary,2019-01-27T12:18:00+00:00,4225.917439598047
algorithmic,3,MP_boundary,2019-01-27T12:18:53+00:00,4201.232061335469
algorithmic,3,MP_boundary,2019-01-27T12:19:37+00:00,4188.856036430878
algorithmic,3,MP_boundary,2019-01-27T12:21:16+00:00,4139.130112552594
algorithmic,3,MP_boundary,2019-01-27T12:30:54+00:00,3898.1287722637635
algorithmic,3,MP_boundary,2019-01-27T12:39:47+00:00,3662.607499306857
algorithmic,3,MP_boundary,2019-01-27T12:43:16+00:00,3569.158319008376
algorithmic,3,MP_boundary,2019-01-27T12:44:12+00:00,3555.7245639723333
algorithmic,3,MP_boundary,2019-01-27T12:44:45+00:00,3528.794408008532
algorithmic,3,MP_boundary,2019-01-27T12:45:24+00:00,3515.2981366017857
algorithmic,3,MP_boundary,2019-01-27T12:45:55+00:00,3501.781015543532
algorithmic,3,MP_boundary,2019-01-27T12:46:37+00:00,3488.243206925422
algorithmic,3,MP_boundary,2019-01-27T12:47:33+00:00,3461.105371368192
algorithmic,3,MP_boundary,2019-01-27T12:48:10+00:00,3447.5054444119314
algorithmic,3,MP_boundary,2019-01-27T12:48:44+00:00,3433.884983378349
algorithmic,4,MP_boundary,2019-01-27T12:15:27+00:00,4225.160203130671
algorithmic,4,MP_boundary,2019-01-27T12:16:04+00:00,4212.9133980558245
algorithmic,4,MP_boundary,2019-01-27T12:16:45+00:00,4188.352617102882
algorithmic,4,MP_boundary,2019-01-27T12:18:09+00:00,4163.70267923697
algorithmic,4,MP_boundary,2019-01-27T12:18:56+00:00,4138.963657596648
algorithmic,4,MP_boundary,2019-01-27T12:19:26+00:00,4126.560773272873
algorithmic,4,MP_boundary,2019-01-27T12:20:40+00:00,4101.688596796537
algorithmic,4,MP_boundary,2019-01-27T12:21:12+00:00,4089.2192998480296
algorithmic,4,MP_boundary,2019-01-27T12:30:35+00:00,3848.125501437809
algorithmic,4,MP_boundary,2019-01-27T12:39:48+00:00,3599.220273537852
algorithmic,4,MP_boundary,2019-01-27T12:43:19+00:00,3505.587177617872
algorithmic,4,MP_boundary,2019-01-27T12:44:19+00:00,3478.6464940508463
algorithmic,4,MP_boundary,2019-01-27T12:44:51+00:00,3465.1448805688133
algorithmic,4,MP_boundary,2019-01-27T12:46:05+00:00,3438.0793628776323
algorithmic,4,MP_boundary,2019-01-27T12:47:01+00:00,3410.9309640726265
algorithmic,4,MP_boundary,2019-01-27T12:47:33+00:00,3397.3257719652956
